Item Type,Order ID,Units Sold,Total Cost,Total Profit
Snacks,580467641,2129,207449.76,117393.06
Cereal,632357871,7601,890153.11,673372.59
Beverages,507986199,3260,103635.40,51051.60
Meat,541776454,2547,928865.43,145688.40
Snacks,688464963,937,91301.28,51666.18
Baby Food,973100554,933,148738.86,89437.38
Personal Care,141044557,7073,400826.91,177249.38
Household,607970798,924,464346.96,153134.52
Clothes,809865605,6084,218050.56,446808.96
Household,153027808,3184,1600087.36,527684.32
Clothes,364068734,4884,175042.56,358680.96
Household,539912211,876,440225.04,145179.48
Household,297794568,2885,1449827.90,478131.05
Vegetables,225264632,9665,878838.45,610151.45
Personal Care,530183732,2003,113510.01,50195.18
Snacks,590725696,7715,751749.60,425405.10
Baby Food,305376851,6651,1060302.42,637564.86
Cosmetics,542936027,5690,1498347.70,989320.30
Vegetables,892514550,3744,340441.92,236358.72
Fruits,113536250,6754,46737.68,16277.14
Clothes,185737454,2695,96588.80,197920.80
Personal Care,459166991,6571,372378.57,164669.26
Cosmetics,804186189,5419,1426985.27,942201.53
Vegetables,261468875,3305,300523.65,208644.65
Fruits,192001378,6329,43796.68,15252.89
Personal Care,227082526,7621,431882.07,190982.26
Office Supplies,518323647,2340,1228406.40,295425.00
Cosmetics,387648570,2681,705987.73,466145.47
Clothes,577293622,2866,102717.44,210479.04
Meat,999807631,4151,1513828.19,237437.20
Cosmetics,288051927,9821,2586163.93,1707577.27
Beverages,745200335,194,6167.26,3038.04
Office Supplies,694739186,7619,3999670.24,961898.75
Meat,330467307,1475,537917.75,84370.00
Clothes,366496026,3173,113720.32,233025.12
Baby Food,687249171,1157,184448.94,110910.02
Meat,797463071,5899,2151306.31,337422.80
Snacks,272186553,4904,477845.76,270406.56
Vegetables,106780946,7710,701070.30,486732.30
Office Supplies,466920077,882,463014.72,111352.50
Cereal,238590276,3019,353555.09,267453.21
Clothes,178090369,9753,349547.52,716260.32
Cosmetics,662031686,8742,2302030.86,1519971.54
Meat,337338054,4681,1707113.89,267753.20
Personal Care,171245801,4293,243284.31,107582.58
Vegetables,301303756,1332,121118.76,84089.16
Office Supplies,485373246,1584,831536.64,199980.00
Meat,551628100,7868,2869380.92,450049.60
Cosmetics,848554646,5032,1325076.56,874913.84
Baby Food,894951713,4954,789766.68,474890.44
Vegetables,729930627,1548,140759.64,97725.24
Personal Care,462915217,5755,326135.85,144220.30
Baby Food,723641812,548,87362.16,52531.28
Snacks,412159240,5933,578111.52,327145.62
Cereal,748828828,3946,462116.06,349576.14
Baby Food,324324405,3653,582361.26,350176.58
Vegetables,949632298,6155,559674.15,388565.15
Cereal,906051337,9580,1121913.80,848692.20
Baby Food,795192849,4090,652027.80,392067.40
Beverages,388980662,6877,218619.83,107693.82
Vegetables,879651105,7165,651513.45,452326.45
Baby Food,829753005,1208,192579.36,115798.88
Cosmetics,222147691,7293,1920465.69,1268033.91
Personal Care,910008990,737,41765.79,18469.22
Fruits,766823232,8890,61518.80,21424.90
Household,436389243,6129,3080067.66,1015759.17
Beverages,182818353,8868,281913.72,138872.88
Cosmetics,340534389,548,144304.84,95280.76
Vegetables,864273679,6642,603957.06,419309.46
Meat,879085052,9657,3521811.33,552380.40
Office Supplies,930329835,4127,2166509.92,521033.75
Baby Food,733681857,1620,258260.40,155293.20
Snacks,525127446,5736,558915.84,316283.04
Household,610965430,7103,3569541.62,1177180.19
Beverages,917807137,8383,266495.57,131277.78
Cosmetics,542576396,9268,2440542.44,1611427.16
Snacks,902509534,1482,144406.08,81717.48
Fruits,785155379,3779,26150.68,9107.39
Personal Care,398375260,6947,393686.49,174091.82
Baby Food,920343005,8802,1403214.84,843759.72
Household,449544942,9193,4619850.22,1523555.89
Personal Care,754779899,5000,283350.00,125300.00
Personal Care,525159204,5133,290887.11,128632.98
Clothes,320106685,5536,198410.24,406563.84
Meat,319358670,4182,1525133.58,239210.40
Beverages,772963988,6076,193156.04,95150.16
Vegetables,651283967,8254,750536.22,521075.02
Office Supplies,794992434,4783,2510883.68,603853.75
Household,765075719,1762,885475.48,292016.26
Vegetables,192832648,2321,211048.53,146524.73
Snacks,129874551,1621,157950.24,89381.94
Meat,798125255,1854,676135.26,106048.80
Cosmetics,239821088,7244,1907562.52,1259514.28
Fruits,167510879,9046,62598.32,21800.86
Meat,114055955,546,199120.74,31231.20
Baby Food,582630145,2062,328724.04,197663.32
Office Supplies,796719777,5942,3119312.32,750177.50
Household,950123679,1565,786475.10,259367.45
Office Supplies,856953179,344,180586.24,43430.00
Cosmetics,401632106,720,189597.60,125186.40
Meat,888896787,3167,1154973.23,181152.40
Baby Food,993796050,5190,827389.80,497513.40
Clothes,811691224,6326,226723.84,464581.44
Vegetables,508256137,3140,285520.20,198228.20
Clothes,769477117,4233,151710.72,310871.52
Vegetables,551652991,5234,475927.62,330422.42
Beverages,231395089,3804,120929.16,59570.64
Household,255627238,4635,2329272.90,768158.55
Vegetables,691585767,4452,404820.36,281054.76
Beverages,776819503,7008,222784.32,109745.28
Baby Food,269189774,8091,1289867.22,775603.26
Vegetables,796870410,517,47010.81,32638.21
Meat,908347737,9136,3331807.84,522579.20
Baby Food,122420585,5826,928780.92,558480.36
Fruits,278200280,4500,31140.00,10845.00
Household,585110652,6099,3064991.46,1010787.27
Vegetables,772888028,3598,327166.14,227141.74
Clothes,641581237,7000,250880.00,514080.00
Snacks,511551606,8343,812941.92,460033.02
Clothes,773472964,6693,239877.12,491533.92
Fruits,538331639,3150,21798.00,7591.50
Meat,787426459,5843,2130883.67,334219.60
Baby Food,322368752,4932,786259.44,472781.52
Snacks,715082347,7612,741713.28,419725.68
Vegetables,457803571,3105,282337.65,196018.65
Vegetables,813081252,7666,697069.38,483954.58
Cereal,863776719,9581,1122030.91,848780.79
Cosmetics,663063800,4168,1097559.44,724690.16
Snacks,784428822,8775,855036.00,483853.50
Meat,971670615,7783,2838382.27,445187.60
Cosmetics,588900506,7601,2001571.33,1321585.87
Baby Food,870542323,1674,266869.08,160469.64
Baby Food,871332395,5473,872505.66,524641.78
Fruits,616319549,1505,10414.60,3627.05
Office Supplies,650865113,4306,2260477.76,543632.50
Meat,690642917,5442,1984642.98,311282.40
Cereal,971639287,8512,996840.32,754078.08
Snacks,900153052,4146,403986.24,228610.44
Fruits,402795541,5006,34641.52,12064.46
Beverages,376490581,784,24923.36,12277.44
Cosmetics,438474500,3203,843445.99,556905.61
Office Supplies,276296126,1019,534934.24,128648.75
Clothes,997816789,5016,179773.44,368375.04
Meat,181210315,3014,1099175.66,172400.80
Personal Care,424963033,4860,275416.20,121791.60
Cosmetics,797873771,7434,1957595.22,1292549.58
Cereal,889053857,9648,1129877.28,854716.32
Vegetables,357927119,7443,676791.99,469876.59
Meat,284229886,8794,3207083.86,503016.80
Office Supplies,918010985,8706,4570301.76,1099132.50
Household,329631745,4213,2117201.02,698220.49
Clothes,259765994,9385,336358.40,689234.40
Cosmetics,269400060,319,84002.27,55464.53
Vegetables,889832770,146,13275.78,9216.98
Meat,472675454,4026,1468241.94,230287.20
Baby Food,139851939,4151,661752.42,397914.86
Snacks,633598554,4747,462547.68,261749.58
Cosmetics,966464126,7067,1860953.11,1228739.29
Beverages,671309983,4397,139780.63,68857.02
Cosmetics,251309955,7055,1857793.15,1226652.85
Personal Care,729950368,7390,418791.30,185193.40
Cereal,501030051,4781,559902.91,423548.79
Cosmetics,278660333,640,168531.20,111276.80
Personal Care,847265040,3408,193131.36,85404.48
Snacks,811580502,3561,346983.84,196353.54
Vegetables,646655547,8601,782088.93,542981.13
Office Supplies,447851502,8067,4234852.32,1018458.75
Meat,380842196,8524,3108617.56,487572.80
Personal Care,231613957,8572,485775.24,214814.32
Cereal,756465613,3840,449702.40,340185.60
Snacks,532008492,1990,193905.60,109728.60
Baby Food,905166423,7714,1229765.88,739464.04
Fruits,143175733,7736,53533.12,18643.76
Household,183585250,5810,2919757.40,962891.30
Clothes,784256303,7723,276792.32,567177.12
Vegetables,873362720,6292,572131.56,397213.96
Baby Food,799390828,6365,1014708.30,610148.90
Cosmetics,981139457,9823,2586690.59,1707925.01
Vegetables,557719933,577,52466.61,36426.01
Snacks,538556087,9569,932403.36,527634.66
Beverages,653384244,9772,310651.88,153029.52
Beverages,702253234,1192,37893.68,18666.72
Clothes,105524384,5865,210201.60,430725.60
Household,153871524,2858,1436259.32,473656.34
Office Supplies,858280980,3270,1716619.20,412837.50
Cereal,500051581,5230,612485.30,463325.70
Fruits,580794656,8900,61588.00,21449.00
Beverages,872434031,1472,46794.88,23051.52
Personal Care,767206037,2170,122973.90,54380.20
Snacks,627659499,7249,706342.56,399709.86
Cosmetics,436655747,4994,1315070.02,868306.78
Baby Food,247368609,723,115260.66,69306.78
Household,633284413,1786,897536.44,295993.78
Meat,438201987,2561,933971.09,146489.20
Meat,826232659,9459,3449602.71,541054.80
Baby Food,331800258,5924,944404.08,567874.64
Beverages,709641110,7429,236167.91,116338.14
Cosmetics,184804046,6479,1706115.07,1126503.73
Household,202650392,7609,3823826.86,1261039.57
Fruits,478853976,2388,16524.96,5755.08
Meat,349401128,4413,1609376.97,252423.60
Cosmetics,120590674,4315,1136268.95,750249.05
Clothes,619033944,4755,170419.20,349207.20
Snacks,941654765,5426,528709.44,299189.64
Household,705689465,8050,4045447.00,1334126.50
Clothes,498686873,1383,49566.72,101567.52
Cereal,528508317,6210,727253.10,550143.90
Cereal,173327624,351,41105.61,31095.09
Household,231631124,3652,1835276.08,605245.96
Baby Food,672217643,2994,477303.48,287004.84
Snacks,184198510,7287,710045.28,401805.18
Cosmetics,226997554,2475,651741.75,430328.25
Household,980351102,6531,3282088.74,1082382.63
Cosmetics,894307982,4460,1174451.80,775460.20
Cosmetics,739229524,3298,868462.34,573423.26
Fruits,455789554,7112,49215.04,17139.92
Beverages,504974400,2002,63643.58,31351.32
Meat,518082892,1096,399700.24,62691.20
Vegetables,646726357,9556,868927.08,603270.28
Household,212828624,9574,4811317.96,1586699.02
Personal Care,858626019,5375,304601.25,134697.50
Fruits,696667373,8212,56827.04,19790.92
Personal Care,159814012,1372,77751.24,34382.32
Personal Care,651239764,5173,293153.91,129635.38
Baby Food,494430959,1963,312941.46,188173.18
Household,783186423,1122,563849.88,185949.06
Cosmetics,431617486,4060,1069119.80,705912.20
Fruits,224147975,9222,63816.24,22225.02
Fruits,565514218,7079,48986.68,17060.39
Snacks,130765044,5137,500549.28,283254.18
Fruits,815261781,2933,20296.36,7068.53
Clothes,984678256,7033,252062.72,516503.52
Household,425000798,6036,3033331.44,1000346.28
Cereal,792528235,5571,652419.81,493534.89
Baby Food,663871896,3302,526404.84,316529.72
Meat,485955607,3918,1428855.42,224109.60
Vegetables,326015698,4145,376904.85,261673.85
Personal Care,321600997,7737,438455.79,193889.22
Household,230572831,479,240716.66,79384.67
Personal Care,781105029,5191,294173.97,130086.46
Household,521683919,6719,3376566.26,1113539.87
Personal Care,771108329,6945,393573.15,174041.70
Personal Care,668489587,9779,554175.93,245061.74
Fruits,323251521,6163,42647.96,14852.83
Household,365130460,9072,4559042.88,1503502.56
Fruits,594175231,8510,58889.20,20509.10
Snacks,430747163,6512,634529.28,359071.68
Clothes,265520083,2148,76984.32,157749.12
Clothes,109480321,6515,233497.60,478461.60
Snacks,943926703,7743,754477.92,426949.02
Household,670470559,5993,3011722.22,993219.89
Fruits,861035716,8457,58522.44,20381.37
Baby Food,907858502,4360,695071.20,417949.60
Personal Care,273487746,9956,564206.52,249497.36
Office Supplies,740784776,3532,1854158.72,445915.00
Baby Food,562923419,404,64405.68,38727.44
Household,313390004,7921,3980619.34,1312747.33
Household,635983359,464,233178.56,76898.72
Cereal,894814813,4443,520319.73,393605.37
Fruits,524308192,3300,22836.00,7953.00
Beverages,379199826,2510,79792.90,39306.60
Vegetables,484538543,4577,416186.61,288946.01
Cereal,485685670,4038,472890.18,357726.42
Cosmetics,998315036,2459,647528.47,427546.33
Cereal,458412969,3439,402741.29,304661.01
Clothes,972278296,7609,272706.56,558804.96
Meat,666522347,7629,2782220.01,436378.80
Beverages,438068950,3192,101473.68,49986.72
Vegetables,804154431,6021,547489.53,380105.73
Fruits,552327620,4872,33714.24,11741.52
Household,790449845,530,266346.20,87836.90
Beverages,896694934,812,25813.48,12715.92
Beverages,769549214,5568,177006.72,87194.88
Beverages,377811515,1678,53343.62,26277.48
Household,210593163,8052,4046452.08,1334457.96
Cosmetics,827317988,632,166424.56,109885.84
Baby Food,607722318,7394,1178751.48,708788.84
Cereal,701854979,3340,391147.40,295890.60
Snacks,980077302,5508,536699.52,303711.12
Baby Food,483063113,7965,1269780.30,763524.90
Snacks,571798741,6809,663468.96,375448.26
Beverages,877583014,5171,164386.09,80977.86
Vegetables,652027261,8211,746626.23,518360.43
Personal Care,117055308,8122,460273.74,203537.32
Personal Care,914903485,9127,517227.09,228722.62
Personal Care,258120620,2482,140654.94,62198.92
Office Supplies,379568040,1473,773266.08,185966.25
Cosmetics,882419574,6416,1689525.28,1115549.92
Personal Care,990161550,9661,547488.87,242104.66
Office Supplies,896592795,587,308151.52,74108.75
Vegetables,415824639,606,55103.58,38256.78
Baby Food,332280910,8160,1300867.20,782217.60
Beverages,150697934,3722,118322.38,58286.52
Personal Care,346124541,4798,271902.66,120237.88
Cosmetics,113922059,924,243316.92,160655.88
Fruits,519764316,8666,59968.72,20885.06
Snacks,449637639,6624,645442.56,365247.36
Fruits,659840857,428,2961.76,1031.48
Vegetables,626985299,7738,703616.34,488499.94
Cosmetics,797994792,3247,855032.51,564555.89
Household,340105664,3679,1848844.66,609720.67
Household,290866744,2788,1401081.52,462055.24
Snacks,408139359,6361,619815.84,350745.54
Baby Food,520097339,7215,1150215.30,691629.90
Meat,975227010,199,72573.31,11382.80
Cereal,392327201,7192,842255.12,637139.28
Cereal,610509240,2106,246633.66,186570.54
Snacks,839196956,5883,573239.52,324388.62
Household,808126676,1497,752302.38,248097.81
Clothes,317347228,8952,320839.68,657434.88
Cosmetics,587219941,285,75049.05,49552.95
Baby Food,208418643,4563,727433.46,437409.18
Fruits,991929662,2885,19964.20,6952.85
Clothes,319051826,3380,121139.20,248227.20
Vegetables,591396462,6210,564675.30,392037.30
Clothes,680887401,8568,307077.12,629233.92
Personal Care,879760968,9676,548338.92,242480.56
Office Supplies,650565993,5789,3038993.44,730861.25
Snacks,876163804,5195,506200.80,286452.30
Cosmetics,709728229,3209,845025.97,557948.83
Clothes,724745595,7182,257402.88,527446.08
Baby Food,665014731,1492,237854.64,143023.12
Snacks,794646966,2551,248569.44,140662.14
Personal Care,548066127,3801,215402.67,95253.06
Cosmetics,780008542,716,188544.28,124490.92
Personal Care,615523040,5801,328742.67,145373.06
Household,599970948,3591,1804621.14,595136.43
Fruits,449026095,5655,39132.60,13628.55
Beverages,398674809,5590,177706.10,87539.40
Meat,755215919,4028,1468971.32,230401.60
Office Supplies,545260751,3628,1904554.88,458035.00
Fruits,665733134,4083,28254.36,9840.03
Fruits,733869397,7118,49256.56,17154.38
Beverages,437218368,1486,47239.94,23270.76
Vegetables,883641374,7974,725075.82,503398.62
Snacks,551312243,4399,428638.56,242560.86
Office Supplies,238717305,610,320225.60,77012.50
Cereal,814655387,3487,408362.57,308913.33
Clothes,968237817,1941,69565.44,142547.04
Vegetables,358888423,1915,174130.95,120893.95
Personal Care,966343533,1381,78261.27,34607.86
Cosmetics,340651977,5345,1407498.85,929335.15
Clothes,152175080,843,30213.12,61909.92
Snacks,341586673,1942,189228.48,107081.88
Beverages,469873082,4741,150716.39,74244.06
Office Supplies,168333137,2371,1244680.16,299338.75
Personal Care,488578164,9991,566189.97,250374.46
Household,752531993,9794,4921876.76,1623159.62
Clothes,802430951,6005,215219.20,441007.20
Cereal,550823867,9878,1156812.58,875092.02
Meat,430572068,4698,1713313.62,268725.60
Baby Food,944849383,784,124985.28,75154.24
Vegetables,417142140,484,44010.12,30554.92
Vegetables,841249167,3178,288975.54,200627.14
Household,231281793,277,139203.58,45907.21
Baby Food,271663844,223,35550.66,21376.78
Clothes,467131650,3491,125117.44,256379.04
Office Supplies,392734038,7584,3981296.64,957480.00
Office Supplies,143832337,2040,1070918.40,257550.00
Baby Food,786100375,3425,546013.50,328320.50
Fruits,305524480,338,2338.96,814.58
Personal Care,358403480,8409,476538.03,210729.54
Snacks,421348702,5299,516334.56,292186.86
Cereal,941283977,5701,667644.11,505051.59
Cosmetics,185445630,6338,1668985.54,1101988.06
Baby Food,991382491,965,153840.30,92504.90
Cosmetics,416955888,5368,1413555.44,933334.16
Personal Care,990339648,2364,133967.88,59241.84
Personal Care,360020101,6803,385526.01,170483.18
Snacks,744796073,564,54956.16,31098.96
Household,383778893,7558,3798197.32,1252587.34
Household,286392390,8727,4385666.58,1446325.71
Clothes,182372891,7046,252528.64,517458.24
Office Supplies,771769225,2519,1322374.24,318023.75
Personal Care,574942719,7182,407003.94,179980.92
Meat,882567203,103,37563.07,5891.60
Beverages,805629003,2380,75660.20,37270.80
Beverages,425426948,2143,68125.97,33559.38
Cereal,343572366,9553,1118751.83,846300.27
Office Supplies,331989085,1803,946502.88,227628.75
Vegetables,682913434,8116,737987.88,512363.08
Personal Care,858894240,4747,269012.49,118959.82
Office Supplies,842792832,9983,5240675.68,1260353.75
Personal Care,687783038,9140,517963.80,229048.40
Cosmetics,967351186,9567,2519278.11,1663414.29
Meat,525296103,5645,2058675.05,322894.00
Snacks,525729119,3784,368712.96,208649.76
Cosmetics,403074061,7427,1955751.91,1291332.49
Personal Care,112067258,2047,116003.49,51297.82
Cereal,577757537,149,17449.39,13199.91
Office Supplies,545506227,6270,3291499.20,791587.50
Meat,630987155,1976,720627.44,113027.20
Beverages,170186650,867,27561.93,13577.22
Office Supplies,369403541,3571,1874632.16,450838.75
Meat,255249154,2752,1003626.88,157414.40
Clothes,724647319,8100,290304.00,594864.00
Vegetables,494834363,1339,121755.27,84531.07
Snacks,153359115,1225,119364.00,67546.50
Fruits,808082902,8543,59117.56,20588.63
Baby Food,937179553,1111,177115.62,106500.46
Baby Food,439135396,8777,1399229.34,841363.22
Office Supplies,182749259,8422,4421213.12,1063277.50
Baby Food,657132470,8956,1427765.52,858522.16
Clothes,621708858,6322,226580.48,464287.68
Fruits,256214749,8493,58771.56,20468.13
Meat,710698974,474,172863.06,27112.80
Snacks,955522859,9303,906484.32,512967.42
Beverages,931360232,9044,287508.76,141629.04
Fruits,199197423,5799,40129.08,13975.59
Cosmetics,190333259,2696,709937.68,468753.52
Baby Food,156379067,4896,780520.32,469330.56
Beverages,319258677,4592,145979.68,71910.72
Cosmetics,521208417,6008,1582086.64,1044610.96
Clothes,674777114,398,14264.32,29229.12
Household,312826097,1049,527164.46,173850.77
Beverages,838529193,8277,263125.83,129617.82
Fruits,575372731,4432,30669.44,10681.12
Meat,617155539,8894,3243552.86,508736.80
Fruits,777988946,3073,21265.16,7405.93
Cosmetics,942296779,5412,1425141.96,940984.44
Clothes,614815366,6384,228802.56,468840.96
Meat,270593535,3495,1274591.55,199914.00
Clothes,904992616,6281,225111.04,461276.64
Snacks,883686435,1308,127451.52,72123.12
Snacks,892661321,7177,699326.88,395739.78
Cereal,788216102,9515,1114301.65,842933.85
Meat,946962106,5986,2183034.34,342399.20
Cosmetics,915823161,1280,337062.40,222553.60
Snacks,762035596,2122,206767.68,117007.08
Office Supplies,623148238,2266,1189559.36,286082.50
Household,257022416,7499,3768547.46,1242809.27
Vegetables,391831958,639,58104.27,40340.07
Snacks,476063191,6532,636478.08,360174.48
Clothes,928514945,7061,253066.24,518559.84
Personal Care,888298547,6135,347670.45,153743.10
Personal Care,464837825,4697,266178.99,117706.82
Cereal,287869107,5721,669986.31,506823.39
Vegetables,157441222,9211,837556.23,581490.43
Fruits,393915498,7204,49851.68,17361.64
Cosmetics,487965762,8768,2308877.44,1524492.16
Snacks,450578343,5000,487200.00,275700.00
Fruits,363052070,4030,27887.60,9712.30
Cereal,826998269,6020,705002.20,533311.80
Fruits,714340770,8163,56487.96,19672.83
Fruits,317315900,9681,66992.52,23331.21
Snacks,898472487,6830,665515.20,376606.20
Fruits,640671861,7896,54640.32,19029.36
Cosmetics,497087848,8195,2157989.35,1424864.65
Household,141206777,5078,2551898.12,841576.94
Fruits,216827476,2923,20227.16,7044.43
Beverages,988061273,8142,258834.18,127503.72
Baby Food,989331996,4178,666056.76,400503.08
Fruits,175375974,6503,45000.76,15672.23
Clothes,371242034,7623,273208.32,559833.12
Office Supplies,322291505,2073,1088242.08,261716.25
Baby Food,644198215,1422,226695.24,136312.92
Cereal,672948491,9268,1085375.48,821052.12
Personal Care,714841163,6240,353620.80,156374.40
Snacks,696487557,5001,487297.44,275755.14
Vegetables,614811503,5241,476564.13,330864.33
Personal Care,987049329,8686,492235.62,217671.16
Beverages,600749862,4089,129989.31,64033.74
Office Supplies,563774430,2237,1174335.52,282421.25
Office Supplies,254296863,948,497662.08,119685.00
Snacks,470803487,69,6723.36,3804.66
Beverages,282093131,6481,206030.99,101492.46
Office Supplies,177277123,9095,4774511.20,1148243.75
Fruits,715779292,3854,26669.68,9288.14
Cosmetics,277335965,8730,2298870.90,1517885.10
Beverages,911995971,8729,277494.91,136696.14
Cereal,690120637,887,103876.57,78579.33
Cosmetics,452383792,9272,2441595.76,1612122.64
Clothes,659771764,9981,357719.04,733004.64
Cereal,943583381,6146,719758.06,544474.14
Personal Care,555429971,2926,165816.42,73325.56
Office Supplies,617235362,2515,1320274.40,317518.75
Clothes,971235883,9136,327434.24,670947.84
Household,629980361,4043,2031769.22,670046.39
Cereal,926330125,524,61365.64,46421.16
Cereal,563459002,8895,1041693.45,788008.05
Office Supplies,564853322,1505,790064.80,190006.25
Snacks,224311912,7734,753600.96,426452.76
Beverages,255946099,8993,285887.47,140830.38
Meat,544179713,3725,1358470.25,213070.00
Baby Food,593749082,2403,383086.26,230351.58
Snacks,879703032,2531,246620.64,139559.34
Vegetables,597402894,3647,331621.71,230235.11
Beverages,812522494,2317,73657.43,36284.22
Household,411048161,7140,3588135.60,1183312.20
Snacks,149278724,3746,365010.24,206554.44
Office Supplies,403825509,9797,5143033.12,1236871.25
Office Supplies,721612346,9984,5241200.64,1260480.00
Household,269875562,1031,518118.74,170867.63
Cereal,986163985,6693,783817.23,592932.87
Office Supplies,828338944,2756,1446789.76,347945.00
Fruits,524574267,2038,14102.96,4911.58
Fruits,423356282,9387,64958.04,22622.67
Beverages,943483817,6683,212452.57,104655.78
Personal Care,324068200,7837,444122.79,196395.22
Clothes,474533259,3791,135869.44,278411.04
Personal Care,224615323,7520,426158.40,188451.20
Vegetables,274363219,9028,820916.04,569937.64
Cosmetics,944138276,352,92692.16,61202.24
Baby Food,824614322,557,88796.94,53394.02
Beverages,826777684,744,23651.76,11651.04
Clothes,131927192,9043,324101.12,664117.92
Fruits,241674172,5613,38841.96,13527.33
Vegetables,927942454,7648,695432.64,482818.24
Office Supplies,682968366,4371,2294600.16,551838.75
Fruits,769300734,2038,14102.96,4911.58
Fruits,269800889,8933,61816.36,21528.53
Beverages,137642657,376,11953.04,5888.16
Office Supplies,946312367,3714,1949701.44,468892.50
Cosmetics,639608848,3326,875835.58,578291.62
Fruits,381643426,5626,38931.92,13558.66
Beverages,506839931,4053,128844.87,63469.98
Baby Food,969934689,4084,651071.28,391492.24
Household,895976531,8221,4131381.34,1362466.33
Meat,830326783,1002,365419.38,57314.40
Personal Care,488659274,3993,226283.31,100064.58
Meat,106960332,794,289563.86,45416.80
Beverages,891528785,2034,64660.86,31852.44
Fruits,968975961,374,2588.08,901.34
Fruits,336225688,5508,38115.36,13274.28
Baby Food,410514295,9157,1459808.94,877790.02
Cosmetics,879390609,78,20539.74,13561.86
Household,150715959,9056,4551002.24,1500850.88
Beverages,302664172,3909,124267.11,61214.94
Beverages,333721578,4486,142609.94,70250.76
Household,212687003,7665,3851969.10,1270320.45
Baby Food,428671777,2360,376231.20,226229.60
Baby Food,641099727,4511,719143.62,432424.46
Fruits,129707181,2092,14476.64,5041.72
Personal Care,944542968,109,6177.03,2731.54
Meat,255968415,5597,2041169.93,320148.40
Household,704657351,2624,1318664.96,434875.52
Office Supplies,951596105,7289,3826433.44,920236.25
Fruits,628083503,2721,18829.32,6557.61
Vegetables,785730874,4081,371085.33,257633.53
Cereal,746462047,3562,417145.82,315557.58
Meat,352513349,5388,1964949.72,308193.60
Clothes,416433608,814,29173.76,59780.16
Household,471084153,3124,1569934.96,517740.52
Meat,119638812,2638,962052.22,150893.60
Clothes,385583913,1703,61035.52,125068.32
Vegetables,562718284,9700,882021.00,612361.00
Snacks,465153253,8039,783320.16,443270.46
Cereal,877312648,5163,604638.93,457390.17
Vegetables,403932797,1546,140577.78,97598.98
Fruits,420062530,4692,32468.64,11307.72
Cereal,121063172,4138,484601.18,366585.42
Cosmetics,572608554,6451,1698741.83,1121635.37
Personal Care,660685002,229,12977.43,5738.74
Clothes,241591346,1103,39531.52,81004.32
Office Supplies,591938912,6733,3534555.68,850041.25
Snacks,358651530,1813,176658.72,99968.82
Household,508965528,3065,1540285.10,507962.45
Baby Food,280429732,4244,676578.48,406829.84
Fruits,330905473,1138,7874.96,2742.58
Office Supplies,488566577,6562,3444787.52,828452.50
Snacks,201899373,5366,522863.04,295881.24
Cosmetics,789702689,9430,2483201.90,1639594.10
Clothes,491087853,2664,95477.76,195644.16
Cereal,315478694,6011,703948.21,532514.49
Fruits,892611539,2445,16919.40,5892.45
Personal Care,222535216,1971,111696.57,49393.26
Cosmetics,425611054,6624,1744297.92,1151714.88
Cereal,992512881,5472,640825.92,484764.48
Cosmetics,134227025,9614,2531654.62,1671586.18
Meat,632052314,7180,2618474.20,410696.00
Household,387600076,8331,4186660.74,1380696.63
Personal Care,972794139,258,14620.86,6465.48
Clothes,879870831,2187,78382.08,160613.28
Beverages,471378982,371,11794.09,5809.86
Office Supplies,630179917,3096,1625276.16,390870.00
Snacks,509447467,5681,553556.64,313250.34
Vegetables,682667958,5474,497750.82,345573.62
Fruits,893640220,6855,47436.60,16520.55
Clothes,506475579,6234,223426.56,457824.96
Cereal,755597865,7054,826093.94,624913.86
Baby Food,695743405,4789,763462.38,459073.54
Household,351961028,1944,976937.76,322179.12
Snacks,269612061,3055,297679.20,168452.70
Office Supplies,164370334,9689,5086337.44,1223236.25
Cereal,272222173,5445,637663.95,482372.55
Office Supplies,899466407,953,500286.88,120316.25
Beverages,172714364,8873,282072.67,138951.18
Fruits,788889873,8899,61581.08,21446.59
Household,565229260,2754,1383995.16,456420.42
Personal Care,989281356,9192,520910.64,230351.52
Cosmetics,468907487,9000,2369970.00,1564830.00
Household,182281482,9996,5023389.84,1656637.08
Cereal,927889668,2028,237499.08,179660.52
Personal Care,874530875,1975,111923.25,49493.50
Snacks,511316430,8749,852502.56,482419.86
Baby Food,397670161,8293,1322070.06,794966.98
Personal Care,713328397,8579,486171.93,214989.74
Office Supplies,808339965,4614,2422165.44,582517.50
Cosmetics,553066194,3432,903748.56,596721.84
Fruits,788180911,9102,62985.84,21935.82
Fruits,174670445,7721,53429.32,18607.61
Meat,143833625,2421,882914.49,138481.20
Fruits,847281777,8361,57858.12,20150.01
Beverages,706938731,7735,245895.65,121130.10
Office Supplies,465040814,4766,2501959.36,601707.50
Baby Food,934136855,709,113028.78,67964.74
Meat,747088181,8850,3227506.50,506220.00
Baby Food,407068622,9506,1515446.52,911245.16
Fruits,937564504,5026,34779.92,12112.66
Baby Food,732374656,4790,763621.80,459169.40
Baby Food,505610406,210,33478.20,20130.60
Snacks,141695582,9726,947701.44,536291.64
Beverages,945366513,3814,121247.06,59727.24
Beverages,691672027,9978,317200.62,156255.48
Baby Food,375973451,7754,1236142.68,743298.44
Personal Care,163944613,3709,210189.03,92947.54
Clothes,741571843,6443,230917.12,473173.92
Snacks,165153968,1584,154344.96,87341.76
